Height,lat,lon,IIiii,RR
8910,27.68333333,119.2,K9261,12
8910,27.68333333,119.2,K9261,26
8910,27.68333333,119.2,K9261,33
8910,27.68333333,119.2,K9261,35
8910,27.68333333,119.2,K9261,29
8910,27.68333333,119.2,K9261,32
8910,27.68333333,119.2,K9261,90
8900,28.89,120.54,K6257,53
8900,28.89,120.54,K6257,64
8900,28.89,120.54,K6257,44
8900,28.89,120.54,K6257,52
8900,28.89,120.54,K6257,31
8900,28.89,120.54,K6257,52
8900,28.89,120.54,K6257,79
8880,27.55,119.25,K9016,9
8880,27.55,119.25,K9016,20
8880,27.55,119.25,K9016,37
8880,27.55,119.25,K9016,19
8880,27.55,119.25,K9016,7
8880,27.55,119.25,K9016,3
8880,27.55,119.25,K9016,11
8860,28.53333333,120.5166667,K3327,183
8860,28.53333333,120.5166667,K3327,153
8860,28.53333333,120.5166667,K3327,152
8860,28.53333333,120.5166667,K3327,236
8860,28.53333333,120.5166667,K3327,287
8860,28.53333333,120.5166667,K3327,437
8860,28.53333333,120.5166667,K3327,399
8740,28.71666667,119.0666667,K9215,37
8740,28.71666667,119.0666667,K9215,55
8740,28.71666667,119.0666667,K9215,92
8740,28.71666667,119.0666667,K9215,107
8740,28.71666667,119.0666667,K9215,51
8740,28.71666667,119.0666667,K9215,119
8740,28.71666667,119.0666667,K9215,99
8720,28.56666667,120.2666667,K9027,138
8720,27.5,119.1833333,K9307,7
8720,28.56666667,120.2666667,K9027,231
8720,27.5,119.1833333,K9307,5
8720,28.56666667,120.2666667,K9027,209
8720,27.5,119.1833333,K9307,8
8720,28.56666667,120.2666667,K9027,102
8720,27.5,119.1833333,K9307,9
8720,28.56666667,120.2666667,K9027,105
8720,27.5,119.1833333,K9307,3
8720,28.56666667,120.2666667,K9027,98
8720,27.5,119.1833333,K9307,0
8720,28.56666667,120.2666667,K9027,93
8720,27.5,119.1833333,K9307,7
8710,28.62583,120.8078,K8949,185
8710,28.62583,120.8078,K8949,169
