,Height,lat,lon,IIiii,RR
20166,3480,28.68333333,119.3,K9111,123
2122,3470,29.28333333,118.9333333,K7404,6
5054,3470,29.28333333,118.9333333,K7404,17
7994,3470,29.28333333,118.9333333,K7404,15
10927,3470,29.28333333,118.9333333,K7404,1
13854,3470,29.28333333,118.9333333,K7404,11
16775,3470,29.28333333,118.9333333,K7404,27
19703,3470,29.28333333,118.9333333,K7404,4
292,3460,29.96666667,118.9833333,K1302,18
1401,3460,29.63333333,120.6,K4617,39
1945,3460,29.51,119.8,K6241,53
3224,3460,29.96666667,118.9833333,K1302,12
4333,3460,29.63333333,120.6,K4617,11
4878,3460,29.51,119.8,K6241,167
6155,3460,29.96666667,118.9833333,K1302,29
7273,3460,29.63333333,120.6,K4617,28
7818,3460,29.51,119.8,K6241,8
9096,3460,29.96666667,118.9833333,K1302,19
10205,3460,29.63333333,120.6,K4617,43
10750,3460,29.51,119.8,K6241,20
12028,3460,29.96666667,118.9833333,K1302,31
13132,3460,29.63333333,120.6,K4617,17
13677,3460,29.51,119.8,K6241,50
14953,3460,29.96666667,118.9833333,K1302,53
16055,3460,29.63333333,120.6,K4617,19
16599,3460,29.51,119.8,K6241,59
17873,3460,29.96666667,118.9833333,K1302,34
18982,3460,29.63333333,120.6,K4617,25
19526,3460,29.51,119.8,K6241,24
2716,3430,27.91666667,119.1,K9252,21
5647,3430,27.91666667,119.1,K9252,31
8587,3430,27.91666667,119.1,K9252,15
11520,3430,27.91666667,119.1,K9252,36
14445,3430,27.91666667,119.1,K9252,11
17364,3430,27.91666667,119.1,K9252,3
20292,3430,27.91666667,119.1,K9252,0
998,3421,27.4,119.9166667,K3206,47
3930,3421,27.4,119.9166667,K3206,15
6861,3421,27.4,119.9166667,K3206,1
9802,3421,27.4,119.9166667,K3206,4
12730,3421,27.4,119.9166667,K3206,0
15654,3421,27.4,119.9166667,K3206,10
18572,3421,27.4,119.9166667,K3206,10
2784,3420,27.76666667,118.9333333,K9336,24
5715,3420,27.76666667,118.9333333,K9336,14
8655,3420,27.76666667,118.9333333,K9336,13
11588,3420,27.76666667,118.9333333,K9336,36
14513,3420,27.76666667,118.9333333,K9336,14
17432,3420,27.76666667,118.9333333,K9336,1
20360,3420,27.76666667,118.9333333,K9336,7
1125,3410,28.26666667,120.4333333,K3335,17
