IIiii,Height,lat,lon,RR,RR_Totle,Z,,
K8213,110,28.54972,121.2781,121.5714286,85.1,11,,
K8910,1510,28.69833,120.3353,121.4285714,85,151,,
K6250,8960,28.86,120.46,121,84.7,896,,
K4412,1170,29.78333333,121.0166667,120.7142857,84.5,117,,
K8820,150,29.12361,121.48,120.5714286,84.4,15,,
K2392,547,29.85,121.8333333,120.2857143,84.2,54.7,,
K2742,350,29.58333333,121.6666667,120.2857143,84.2,35,,
K8605,480,29.00056,121.1142,120,84,48,,
K3070,3070,28.11666667,120.8166667,119.8571429,83.9,307,,
K6283,2500,28.67,119.66,119.8571429,83.9,250,,
K8416,1860,28.41556,121.4511,119.8571429,83.9,186,,
K2918,320,29.38333333,121.7666667,119.7142857,83.8,32,,
K4405,1090,29.81666667,121.05,119.7142857,83.8,109,,
K8628,460,28.91,120.8944,119.7142857,83.8,46,,
58574,160,29.63333333,122.0166667,119.5714286,83.7,16,,
K8212,70,28.6903,121.3275,119.5714286,83.7,7,,
K2736,2350,29.56666667,121.2333333,119.4285714,83.6,235,,
K9628,40,30.13333333,122.1166667,119.1428571,83.4,4,,
K2324,50,29.93333333,121.7166667,119,83.3,5,,
K2330,50,29.91666667,121.7666667,119,83.3,5,,
K3002,210,28,121.0666667,119,83.3,21,,
K7321,2790,28.86666667,119.3166667,118.8571429,83.2,279,,
K1079,100,30.18333333,120.3333333,118.7142857,83.1,10,,
K6302,7900,29.32,120.64,118.4285714,82.9,790,,
58566,72,29.46666667,121.8833333,118.2857143,82.8,7.2,,
K2421,170,29.73333333,121.6166667,118.2857143,82.8,17,,
